學年度,學期,課程代碼,課程名稱,授課教師,上課時間,上課教室,學分,選別,開課學程/年級,授課語言,EMI課程,學制分類,備註
114,2,257726001,"獨立研究（四）","林士淵、邱式鴻、范噶色、甯方璽、詹進發","一C五D","綜合270610",2.0,選修,"地政碩一地政博一地政碩二地政博二",中文,否,碩士班、博士班,"＠備註:無"
114,2,258743001,"經濟問題研討（七）","李浩仲","二56","綜南270112",1.0,選修,"經濟碩一經濟碩二",中文,否,碩士班,"＠備註:無"
114,2,258931001,"勞動經濟學（二）","江豐富","一12C","綜南270209",3.0,選修,"經濟碩一經濟博一經濟碩二經濟博二",中文,否,碩士班、博士班,"＠備註:無"
114,2,258935001,"國際金融（二）","黃仁德","四234","綜南270313",3.0,選修,"經濟碩一經濟博一經濟碩二經濟博二",中文,否,碩士班、博士班,"＠備註:無"
114,2,259654001,"人類學與障礙研究","劉子愷","一78E","綜北270107",3.0,選修,"民族碩一",中文,否,碩士班,"＠備註:無"
114,2,259658001,"內陸歐亞概論","藍美華","五56","綜南270412",2.0,選修,"民族碩一",中文,否,碩士班,"＠備註:無"
114,2,259680001,"進階田野課程：地景分析與原住民考古","官大偉","三234","綜南270410",3.0,選修,"民族碩一民族碩二",中文,否,碩士班,"＠備註:1.需配合暑期6/25-7/13環山部落田野。2.選課前請先mail面談（dayaoffice707@gmail.com）"
114,2,262784001,"勞動與社會福利專題研究","卓浩右","四34C","綜南270413",3.0,選修,"勞工碩一勞工碩二",中文,否,碩士班,"＠備註:無"
114,2,262785001,"人工智慧與勞動政治經濟學專題研究","陳芙萱","三D56","綜合271233",3.0,選修,"勞工碩一勞工碩二",中文,否,碩士班,"＠備註:無"
114,2,262792001,"企業策略與社會責任專題研究","丘周剛、張昌吉","五34","綜合271233",2.0,選修,"勞工碩一勞工碩二",中文,否,碩士班,"＠備註:無"
114,2,262796001,"社會科學方法論","丘周剛","一56","綜合271233",2.0,選修,"勞工碩一勞工碩二",中文,否,碩士班,"＠備註:無"
114,2,262855001,"勞動關係論文專題研究","張其恆","五CD","綜合271245",1.0,選修,"勞工碩二勞工碩三勞工碩四",中文,否,碩士班,"＠備註:無"
114,2,264900001,"後現代社會工作","王增勇","一EFG","綜合271443",3.0,選修,"社工碩一社工博一社工碩二社工博二",中文,否,碩士班、博士班,"＠備註:無"
114,2,266838001,"資料科學基礎：社會科學的工具箱","杜福童","一D56","綜南270210",3.0,選修,"應社碩一應社碩二",英文,��,碩士班,"＠備註:無"
114,2,266839001,"公共管理及永續發展","謝文琪","五234","綜南270314",3.0,選修,"應社碩一應社碩二",英文,是,碩士班,"＠備註:須出席第一堂課。"
114,2,266842001,"機器學習與財務計量","羅秉政","四234","商館260311",3.0,選修,"應社碩一應社碩二",英文,是,碩士班,"＠備註:無"
114,2,266909001,"國際貿易","李慧琳","四D56","資訊140208",3.0,選修,"應社碩一應社碩二",英文,是,碩士班,"＠備註:無"
114,2,267005001,"民族地理與文化生態","蕭惠中","五8EF","綜北270306",3.0,必修,"原碩專一原碩專二原碩專三原碩專四原碩專選",中文,否,碩士班,"＠備註:本課程為原專班學生必修課，不開放非原專班學生修課。"
114,2,267935001,"環境規劃與設計專題","蕭惠中","二234","",3.0,選修,"原碩專一原碩專二原碩專三原碩專四原碩專選",中文,否,碩士班,"＠備註:本課程為原專班學生選修課，不開放非原專班學生修課。"
114,2,921023011,"管理經濟學","翁永和","五FGH","",3.0,群修,"行領導一行領導二",中文,否,碩士班,"＠備註:領導專班課程。本課程係由系所分派，如有異動，請洽學程辦公室。上課地點為八德"
114,2,921025001,"社會科學研究方法（一）：量化研究方法","陳信木","三FGH","",3.0,群修,"行管碩一行國防一行管碩二行國防二",中文,否,碩士班,"＠備註:共同必修(群修)"
114,2,921027011,"台灣發展重大公共議題","王增勇、杜文苓、林子欽、孫振義、陳國樑、黃智聰、甯方璽、楊婉瑩、羅光達","六234","",3.0,必修,"行國防一行國防二",中文,否,碩士班,"＠備註:國防專班課程。本課程由系所分派，如有異動請洽學程辦公室。"
114,2,921804001,"公共事務實踐專題","高安邦、詹婷怡、蒲澤春","六567","",3.0,選修,"行管碩一行國防一行領導一行管碩二行國防二行領導二",中文,否,碩士班,"＠備註:公共治理模組"
114,2,921807001,"科技發展與政策前瞻","朱斌妤、廖興中、戴豪君","二FGH","",3.0,選修,"行管碩一行國防一行管碩二行國防二",中文,否,碩士班,"＠備註:公共治理模組選修"
114,2,921809001,"財政與稅務行政專題","何怡澄、陳國樑、彭喜樞","六567","",3.0,選修,"行管碩一行國防一行管碩二行國防二",中文,否,碩士班,"＠備註:財經政策模組選修"
114,2,923925001,"交通運輸與土地利用研究","白仁德","四EFG","",3.0,選修,"地政專一地政專二",中文,否,碩士班,"＠備註:無"
114,2,923929001,"土地經濟專題研究","劉小蘭","六234","",3.0,選修,"地政專一地政專二",中文,否,碩士班,"＠備註:無"
114,2,926808001,"政治參與及社會運動","王慧敏","三567","",3.0,選修,"亞太碩一亞太碩二",英文,是,碩士班,"＠備註:無"
114,2,926810001,"民族學方法論","吳考甯","二234","綜南270313",3.0,選修,"亞太碩一亞太碩二",英文,是,碩士班,"＠備註:無"
114,2,926816001,"東南亞的公民與非公民社會：抵抗、默許與拉攏","DeasyRumondang Prisc","四234","綜南270315",3.0,選修,"亞太碩一亞太碩二",英文,是,碩士班,"＠備註:無"
114,2,926817001,"電影與政治","梁家瑜","三D56","綜北270402",3.0,選修,"亞太碩一亞太碩二",英文,是,碩士班,"＠備註:無"
114,2,926825001,"東亞冷戰中的文化與性別","陳佩甄、鄭麗榕","三567","",3.0,選修,"亞太碩一亞太碩二",英文,是,碩士班,"＠備註:無"
114,2,926836001,"國土規劃","鄭安廷","五234","綜南270411",3.0,選修,"亞太碩一亞太碩二",英文,是,碩士班,"＠備註:無"
114,2,926840001,"非營利組織管理","林宜輝","三234","綜合271443",3.0,選修,"亞太碩一亞太碩二亞太碩三",英文,是,碩士班,"＠備註:無"
114,2,926876001,"文化生態研究專題：森林的綠色發展，保育和氣候變遷","吳考甯","三234","綜合270717",3.0,選修,"亞太碩一亞太碩二",英文,是,碩士班,"＠備註:無"
114,2,252021001,"西洋政治思想主要課題","周家瑜","三D56","綜合270728",3.0,必修,"政治碩一政治碩二",中文,否,碩士班,"＠備註:為確保同學了解課程要求，請想修課或加簽的同學第一周務必出席。"
114,2,252745001,"發展與政策","湯京平","五234","綜合270723",3.0,選修,"政治碩一政治博一政治碩二政治博二",英文,是,碩士班、博士班,"＠備註:無"
114,2,252915001,"非洲政府與政治","嚴震生","五234","綜南270409",3.0,選修,"政治碩一政治碩二",英文,是,碩士班,"＠備註:無"
114,2,254090001,"社會階層與社會流動專題討論","張峯彬","二234","綜合270835",3.0,群修,"社會碩一社會博一社會碩二社會博二",中文,否,碩士班、博士班,"＠備註:無"
114,2,254751001,"反身社會學經典研讀：布赫迪厄","黃厚銘","二D56","綜合270835",3.0,選修,"社會碩一社會碩二",中文,否,碩士班,"＠備註:無"
114,2,254771001,"AI與治理","陳柏良","三234","大勇210202",3.0,選修,"社會碩一社會碩二",英文,是,碩士班,"＠備註:英文授課/此課程同 ""ZU1943001 AI與治理"" (選修) 及ZU1021001 專題三：AI與治理 (群修) ，請學生避免重複修習。"
114,2,255036011,"租稅分析與應用","賴育邦","三D56","綜南270313",3.0,必修,"財政碩一財政博一財政碩二財政博二",中文,否,碩士班、博士班,"＠備註:無"
114,2,255043001,"稅務會計","郭振雄","一127","綜合270935",3.0,必修,"財政碩一財政博一財政碩二財政博二",中文,否,碩士班、博士班,"＠備註:稅務組必修。實際上課時間為周一早上9點至12點。"
114,2,255832001,"循環商業模式","林其昂","四234","綜南270309",3.0,選修,"財政碩一財政碩二",英文,是,碩士班,"＠備註:無"
114,2,256021001,"公共政策與分析","蕭乃沂","三D56","綜南270314",3.0,必修,"公行碩一",中文,否,碩士班,"＠備註:無"
114,2,256649001,"公共管理及永續發展","謝文琪","五234","綜南270314",3.0,選修,"公行碩一公行碩二",英文,是,碩士班,"＠備註:請注意：所有預計選修本課程的學生皆必須參與2月25日（週三）18:10的線上課程（第一堂課）。詳情請參閱課程公告（政大電子郵件及Moodle通知）和課程大綱。"
114,2,256660001,"社會創新與地方治理","傅凱若","二234","綜合271135",3.0,選修,"公行碩一公行碩二",中文,否,碩士班,"＠備註:無"
114,2,256672001,"政治參與及社會運動","王慧敏","三567","綜合271135",3.0,選修,"公行碩一公行博一公行碩二公行博二",英文,是,碩士班、博士班,"＠備註:無"
114,2,257708001,"空間大數據分析與永續城市規劃","胡兆基","四D56","綜南270308",3.0,選修,"地政碩一地政碩二",英文,是,碩士班,"＠備註:無"
114,2,257711001,"國土規劃","鄭安廷","五234","綜南270411",3.0,選修,"地政碩一地政碩二",英文,是,碩士班,"＠備註:無"
114,2,257738001,"地價與地稅：理論、實證與政策","林子欽","三234","綜合270617",3.0,選修,"地政碩一地政博一地政碩二地政博二",中文,否,碩士班、博士班,"＠備註:無"
114,2,257743001,"環境規劃與設計專題","孫振義","二567","綜合270622",3.0,選修,"地政碩一地政博一地政碩二地政博二",中文,否,碩士班、博士班,"＠備註:無"
114,2,257748001,"不動產市場土地開發行為之分析","丁秀吟","三567","綜合270622",3.0,選修,"地政碩一地政碩二",中文,否,碩士班,"＠備註:無"
114,2,257858001,"地理資訊系統總論","詹進發","一567","綜合270617",3.0,選修,"地政碩一地政博一地政碩二地政博二",中文,否,碩士班、博士班,"＠備註:無"
114,2,257M02001,"貨幣銀行與金融市場","林左裕","未��或彈性","",0.4,選修,"地政碩一地政碩二",英文,是,碩士班,"＠備註:無"
114,2,258014001,"個體經濟理論（二）","廖郁萍","四D56","綜南270209",3.0,群修,"經濟碩一經濟碩二",中文,否,碩士班,"＠備註:無"
114,2,258015001,"總體經濟理論（二）","梁斐琪","五234","綜南270311",3.0,群修,"經濟碩一經濟碩二",英文,是,碩士班,"＠備註:本課程為英語授課"
114,2,258019011,"進階經濟計量學","林馨怡、劉祝安","五D56","綜南270411",3.0,群修,"經濟碩一經濟碩二",中文,否,碩士班,"＠備註:無"
114,2,258721001,"環境與資源經濟學（一）： 環境政策經濟分析","蕭代基","三567","",3.0,選修,"經濟碩一經濟博一經濟碩二經濟博二",中文,否,碩士班、博士班,"＠備註:無"
114,2,258761001,"應用計量: 總體專題研究（一）","賴廷緯","二78","綜合271034",2.0,選修,"經濟碩一經濟博一經濟碩二經濟博二",中文,否,碩士班、博士班,"＠備註:無"
114,2,258911001,"產業經濟學（四）","王國樑","二78E","綜北270206",3.0,選修,"經濟碩一經濟博一經濟碩二經濟博二",中文,否,碩士班、博士班,"＠備註:無"
114,2,259649001,"中亞專題研究","艾彌拉","四D56","道藩320216",3.0,選修,"民族碩一民族碩二",英文,是,碩士班,"＠備註:與中東中亞學程合開"
114,2,259650001,"東南亞專題：政治人類學與當代緬甸","劉子愷","四8EF","綜南270314",3.0,選修,"民族碩一民族博一",英文,是,碩士班、博士班,"＠備註:無"
114,2,259662001,"藏學人類學","陳乃華","五234","綜南270212",3.0,選修,"民族碩一",英文,是,碩士班,"＠備註:無"
114,2,259671001,"無形文化資產的理論與實踐","黃季平","一D56","綜合270717",3.0,選修,"民族碩一民族博一",中文,否,碩士班、博士班,"＠備註:加簽在第一次上課時間內處理，逾期不受理。"
114,2,259782001,"民族教育研究方法專題研究─資料收集","王雅萍","二567","綜合270717",3.0,選修,"民族碩一民族博一",中文,否,碩士班、博士班,"＠備註:無"
114,2,261931001,"國際發展經濟學","蘇昱璇","二234","綜合270722",3.0,選修,"國發碩一國發博一國發碩二國發博二",英文,是,碩士班、博士班,"＠備註:博碩選。(英語授課；亞太碩、應經碩、國研碩合開)。外所同學如需加簽，經授課老師同意後，交由本所統一加選。"
114,2,262002002,"勞動法學專題研究","吳姿慧","五567","綜合271233",3.0,必修,"勞工碩一",中文,否,碩士班,"＠備註:無"
114,2,262783001,"跨國移工的遷徒與發展專題研究","卓浩右","二34C","綜合271233",3.0,選修,"勞工碩一勞工碩二",中文,否,碩士班,"＠備註:無"
114,2,264102001,"質性研究","王增勇","二567","綜合271443",3.0,群修,"社工碩一社工博一社工碩二社工博二",中文,否,碩士班、博士班,"＠備註:無"
114,2,264888001,"社會工作實習（選）","林宜輝","一CD5","綜合271437",3.0,選修,"社工碩一社工碩二",中文,否,碩士班,"＠備註:無"
114,2,264890001,"社區工作","方昱","五234","綜合271443",3.0,選修,"社工碩一社工碩二",中文,否,碩士班,"＠備註:無"
114,2,264899001,"社會統計","楊佩榮","四234","綜合271443",3.0,選修,"社工碩一社工博一社工碩二社工博二",中文,否,碩士班、博士班,"＠備註:無"
114,2,266003001,"應用總體經濟","彭喜樞","二D56","綜南270416",3.0,必修,"應社碩一應社碩二應社碩三應社碩四",英文,是,���士班,"＠備註:無"
114,2,266850001,"應用個體計量與R語言","廖仁哲","四234","大勇210207",3.0,選修,"應社碩一應社碩二",英文,是,碩士班,"＠備註:無"
114,2,266858001,"地方財政","傅健豪","一D56","綜南270315",3.0,選修,"應社碩一應社碩二應社碩三應社碩四",英文,是,碩士班,"＠備註:無"
114,2,267003001,"土地經濟學","顏愛靜","五D56","綜北270306",3.0,必修,"原碩專一原碩專二原碩專三原碩專四原碩專選",中文,否,碩士班,"＠備註:本課程為原專班學生必修課，不開放非原專班學生修課。"
114,2,267004001,"原住民族土地歷史與政策發展","陳怡萱、傅琪貽","五234","綜北270306",3.0,必修,"原碩專一原碩專二原碩專三原碩專四原碩專選",中文,否,碩士班,"＠備註:本課程為原專班學生必修課，不開放非原專班學生修課。"
114,2,267008001,"原住民族土地相關法規與實務分析","戴秀雄","三567","綜南270210",3.0,群修,"原碩專一原碩專二",中文,否,碩士班,"＠備註:本課程為原專班學生必修課，不開放非原專班學生修課。"
114,2,921023021,"管理經濟學","王信實、羅光達","一FGH","",3.0,群修,"行國防一行國防二",中文,否,碩士班,"＠備註:國防專班課程。上課地點為藍天樓。"
114,2,921027001,"台灣發展重大公共議題","王增勇、杜文苓、林子欽、孫振義、陳國樑、黃智聰、甯方璽、楊婉瑩、羅光達","六234","",3.0,必修,"行管碩一行管碩二",中文,否,碩士班,"＠備註:共同必修。本課程碩一生由系所分派。"
114,2,921806001,"全球變遷與勞工問題","成之約、張其恆","一FGH","",3.0,選修,"行管碩一行國防一行管碩二行國防二",中文,否,碩士班,"＠備註:社會勞動/社會永續模組。"
114,2,921810001,"經濟發展與金融實務專題","朱美麗、連賢明、黃天牧","五FGH","",3.0,選修,"行管碩一行國防一行領導一行管碩二行國防二行領導二",中文,否,碩士班,"＠備註:財經政策模組選修，上課地點為政大公企中心。"
114,2,921833001,"比較社會政策","古允文、蔡培元","二FGH","",3.0,選修,"行管碩一行國防一行領導一行管碩二行國防二行領導二",中文,否,碩士班,"＠備註:社會勞動/社會永續模組。"
114,2,921839001,"法治與行政","董保城、蘇偉業","四FGH","",3.0,選修,"行管碩一行國防一行管碩二行國防二",中文,否,碩士班,"＠備註:公共治理模組選修"
114,2,921854001,"中國大陸政府與政治","寇健文","三FGH","",3.0,選修,"行國防一行國防二",中文,否,碩士班,"＠備註:國防專班課程，上課地點為空軍司令部藍天樓(大直)。"
114,2,923877001,"不動產量化分析","江穎慧、林士淵、林子欽","二FGH","",3.0,選修,"地政專一地政專二",中文,否,碩士班,"＠備註:無"
114,2,923890001,"空間資訊科技應用特論","林士淵、邱式鴻、甯方璽、詹進發","未定或彈性","",3.0,選修,"地政專一地政專二",中文,否,碩士班,"＠備註:上課時間以專班課表為主。"
114,2,926809001,"教學與學術發表寫作專題","王明聖","三D56","綜合271443",3.0,選修,"亞太碩一亞太碩二",英文,是,碩士班,"＠備註:無"
114,2,926819001,"資料科學基礎：社會科學的工具箱","杜福童","一D56","綜南270210",3.0,選修,"亞太碩一亞太碩二",英文,是,碩士班,"＠備註:無"
114,2,926829001,"現代世界的宗教與政治","DeasyRumondang Prisc","五D56","綜南270108",3.0,選修,"亞太碩一亞太碩二",英文,是,碩士班,"＠備註:無"
114,2,926834001,"國際環境治理","王慧敏","四56","綜合271135",2.0,選修,"亞太碩一亞太碩二",英文,是,碩士班,"＠備註:無"
114,2,926867001,"人類世與地緣政治","楊智元","三D56","綜北270105",3.0,選修,"亞太碩一亞太碩二",英文,是,碩士班,"＠備註:無"
114,2,265826001,"國際人權倡議","黃兆年","四234","綜合270722",3.0,選修,"亞太博一亞太博二亞太博三",英文,是,博士班,"＠備註:國發所主開"
114,2,258020011,"進階經濟計量學","林馨怡、劉祝安","五D56","綜南270411",3.0,必修,"經濟博一經濟博二",中文,否,博士班,"＠備註:無"
114,2,264013001,"社會工作理論專題","楊佩榮","三234","綜合271446",3.0,必修,"社工博一社工博二",中文,否,博士班,"＠備註:無"
114,2,265765001,"教學與學術發表寫作專題","王明聖","三D56","綜合271443",3.0,選修,"亞太博一亞太博二亞太博三",英文,是,博士班,"＠備註:社工所主開"
114,2,265780001,"東南亞國際關係","游雅雯","五234","綜合271201",3.0,選修,"亞太博一亞太博二亞太博三",英文,是,博士班,"＠備註:亞太博主開"
114,2,265797001,"台美中關係與國際體系","冷則剛","一EFG","綜合271201",3.0,選修,"亞太博一亞太博二亞太博三",英文,是,博士班,"＠備註:無"
114,2,265823001,"非營利組織管理","林宜輝","三234","綜合271443",3.0,選修,"亞太博一亞太博二亞太博三",英文,是,博士班,"＠備註:社工所主開"
114,2,265829001,"全球變遷下的亞洲安全","劉復國","二567","綜合271215",3.0,選修,"亞太博一亞太博二亞太博三",英文,是,博士班,"＠備註:亞太博主開"
114,2,265831001,"東南亞族群發展","劉曉鵬","三234","綜合270723",3.0,選修,"亞太博一亞太博二亞太博三",英文,是,博士班,"＠備註:國發所主開"
114,2,252103001,"比較政治理論與方法","錢宜群","一D56","綜合271201",3.0,群修,"政治博一政治博二",英文,是,博士班,"＠備註:無"
114,2,255022001,"高等個體經濟學（二）","翁堃嵐","二234","綜合270931",3.0,必修,"財政博一",中文,否,博士班,"＠備註:無"
114,2,255029001,"專題研討","陳國樑","五CD","綜合270931",0,必修,"財政博一財政博二財政博三財政博四",中文,否,博士班,"＠備註:無"
114,2,256026001,"高等質性研究","江明修","三567","綜館271134",3.0,必修,"公行博一公行博二",中文,否,博士班,"＠備註:本課程先修要求請詳見課程大綱。"
114,2,256028001,"行政組織與管理理論研究","陳敦源","三234","綜館271134",3.0,必修,"公行博一",中文,否,博士班,"＠備註:無"
114,2,261043001,"發展與政策","湯京平","五234","綜合270723",3.0,必修,"國發博一國發博二",英文,是,博士班,"＠備註:博必。(英語授課；政治系、亞太博合開)。外所同學如需加簽，經授課老師同意後，交由本所統一加選。"
114,2,264017001,"教學與學術發表寫作專題","王明聖","三D56","綜合271443",3.0,必修,"社工博一社工博二",英文,是,博士班,"＠備註:無"
114,2,265766001,"毛主義與現代中國政治思想","梁家瑜","二567","綜合271201",3.0,選修,"亞太博一亞太博二亞太博三",英文,是,博士班,"＠備註:IDAS主開"
114,2,265795001,"亞太戰略研析","李喜明、袁力強","三EFG","綜���270306",3.0,選修,"亞太博一亞太博二亞太博三",英文,是,博士班,"＠備註:IDAS主開"
114,2,265822001,"西方眼中的中國與臺灣專題","周一騰","三567","季陶340304",3.0,選修,"亞太博一亞太博二亞太博三",英文,是,博士班,"＠備註:歷史系主開"
114,2,252022001,"社會科學哲學","葉浩","二567","綜南270726",3.0,必修,"政治博一政治博二",英文,是,博士班,"＠備註:無"
114,2,255039001,"計量經濟學（二）","連賢明","五234","綜合270935",3.0,必修,"財政博一財政博二",中文,否,博士班,"＠備註:無"
114,2,258700001,"經濟問題研討（八）","許育進","二56","",1.0,選修,"經濟博一經濟博二",中文,否,博士班,"＠備註:本課程於中研院上課"
114,2,259049001,"民族史專題研究","張中復","二EFG","綜合270514",3.0,必修,"民族博一",中文,否,博士班,"＠備註:無"
114,2,265762001,"文化生態研究專題：森林的綠色發展，保育和氣候變遷","吳考甯","三234","綜合270717",3.0,選修,"亞太博一亞太博二",英文,是,博士班,"＠備註:無"
114,2,265763001,"民族學方法論","吳考甯","二234","",3.0,選修,"亞太博一亞太博二",英文,否,博士班,"＠備註:無"
114,2,265764001,"國際環境治理","王慧敏","四56","",2.0,選修,"亞太博一亞太博二",英文,是,博士班,"＠備註:無"
114,2,265767001,"網絡與組織","杜福童","二567","綜南270417",3.0,選修,"亞太博一亞太博二亞太博三",英文,是,博士班,"＠備註:亞太博主開"
114,2,265803001,"政治參與及社會運動","王慧敏","三567","綜合271135",3.0,選修,"亞太博一亞太博二",英文,是,博士班,"＠備註:無"
114,2,265824001,"資料導向決策","廖興中","一567","",3.0,選修,"亞太博一亞太博二",英文,是,博士班,"＠備註:無"
114,2,265849001,"比較政治理論與方法","錢宜群","一D56","綜合271201",3.0,選修,"亞太博一亞太博二亞太博三",英文,是,博士班,"＠備註:政治系主開"
114,2,265910001,"發展與政策","湯京平","五234","",3.0,選修,"亞太博一亞太博二",英文,是,博士班,"＠備註:無"
114,2,300745001,"商用進階英文寫作","沈琪","二234","學思040208",3.0,選修,"商院選修",英文,否,學士班,"＠備註:先修：寫作與口語訓練（一）（二）或商用寫作與口語訓練（一）（二）； 收費課程；限商學院ETP學生修習。"
114,2,300747051,"商用中級寫作訓練","沈琪","五D56","學思040208",3.0,選修,"商院選修",英文,否,學士班,"＠備註:先修：寫作與口語訓練（一）（二）或商用寫作與口語訓練（一）（二）； 收費課程；限商學院ETP學生修習。"
